EB_level,final_action_dates,visa_bulletin_date,visa_wait_time
1,2024-11-01,2024-11-01,0.0
4,2021-01-01,2024-11-01,3.8329911019849416
2,2023-03-15,2024-11-01,1.6344969199178645
3,2022-11-15,2024-11-01,1.9630390143737166
1,2024-10-01,2024-10-01,0.0
2,2023-03-15,2024-10-01,1.5496235455167693
3,2022-11-15,2024-10-01,1.8781656399726214
4,2021-01-01,2024-10-01,3.7481177275838466
1,2024-09-01,2024-09-01,0.0
2,2023-03-15,2024-09-01,1.4674880219028064
3,2020-12-01,2024-09-01,3.7508555783709787
4,2021-01-01,2024-09-01,3.6659822039698837
4,2021-01-01,2024-08-01,3.5811088295687883
3,2021-12-01,2024-08-01,2.6666666666666665
2,2023-03-15,2024-08-01,1.3826146475017111
1,2024-08-01,2024-08-01,0.0
1,2024-07-01,2024-07-01,0.0
2,2023-03-15,2024-07-01,1.297741273100616
3,2021-12-01,2024-07-01,2.5817932922655715
4,2021-01-01,2024-07-01,3.4962354551676933
1,2024-06-01,2024-06-01,0.0
2,2023-01-15,2024-06-01,1.377138945927447
3,2022-11-22,2024-06-01,1.5249828884325805
4,2020-11-01,2024-06-01,3.5811088295687883
3,2022-11-22,2024-05-01,1.4401095140314852
4,2020-11-01,2024-05-01,3.4962354551676933
2,2023-01-15,2024-05-01,1.2922655715263518
1,2024-05-01,2024-05-01,0.0
1,2024-04-01,2024-04-01,0.0
2,2023-01-15,2024-04-01,1.2101300479123889
3,2022-11-22,2024-04-01,1.3579739904175223
4,2020-11-01,2024-04-01,3.4140999315537304
1,2024-03-01,2024-03-01,0.0
2,2022-11-22,2024-03-01,1.273100616016427
3,2022-09-08,2024-03-01,1.4784394250513346
4,2019-12-01,2024-03-01,4.249144421629021
1,2024-02-01,2024-02-01,0.0
2,2022-11-15,2024-02-01,1.212867898699521
3,2022-09-01,2024-02-01,1.4182067077344285
4,2019-05-15,2024-02-01,4.717316906228611
3,2022-08-01,2024-01-01,1.4182067077344285
4,2019-05-15,2024-01-01,4.632443531827516
1,2024-01-01,2024-01-01,0.0
2,2022-11-01,2024-01-01,1.1663244353182751
1,2023-12-01,2023-12-01,0.0
2,2022-07-15,2023-12-01,1.379876796714579
3,2021-12-01,2023-12-01,1.998631074606434
4,2019-01-01,2023-12-01,4.914442162902122
1,2023-11-01,2023-11-01,0.0
2,2022-07-15,2023-11-01,1.297741273100616
3,2021-12-01,2023-11-01,1.9164955509924708
4,2019-01-01,2023-11-01,4.832306639288158
3,2021-12-01,2023-10-01,1.8316221765913758
4,2019-01-01,2023-10-01,4.747433264887063
2,2022-07-08,2023-10-01,1.2320328542094456
1,2023-10-01,2023-10-01,0.0
2,2022-07-01,2023-09-01,1.1690622861054072
3,2020-05-01,2023-09-01,3.3347022587268995
4,2018-09-01,2023-09-01,4.999315537303217
1,2023-08-01,2023-09-01,0.08487337440109514
1,2023-08-01,2023-08-01,0.0
2,2022-04-01,2023-08-01,1.3333333333333333
3,2020-05-01,2023-08-01,3.249828884325804
4,2018-09-01,2023-08-01,4.914442162902122
4,2018-09-01,2023-07-01,4.829568788501026
3,2022-02-01,2023-07-01,1.4099931553730323
2,2022-02-15,2023-07-01,1.3716632443531827
1,2023-07-01,2023-07-01,0.0
2,2022-02-15,2023-06-01,1.2895277207392197
3,2022-06-01,2023-06-01,0.999315537303217
4,2018-09-01,2023-06-01,4.747433264887063
1,2023-06-01,2023-06-01,0.0
1,2023-05-01,2023-05-01,0.0
2,2022-02-15,2023-05-01,1.2046543463381245
3,2022-06-01,2023-05-01,0.9144421629021219
4,2018-09-01,2023-05-01,4.662559890485968
3,2023-04-01,2023-04-01,0.0
4,2018-09-01,2023-04-01,4.5804243668720055
2,2022-07-01,2023-04-01,0.7501711156741958
1,2023-04-01,2023-04-01,0.0
3,2023-03-01,2023-03-01,0.0
4,2022-02-01,2023-03-01,1.0759753593429158
1,2023-03-01,2023-03-01,0.0
2,2022-11-01,2023-03-01,0.32854209445585214
2,2022-11-01,2023-02-01,0.2518822724161533
3,2023-02-01,2023-02-01,0.0
4,2022-06-22,2023-02-01,0.6132785763175906
1,2023-02-01,2023-02-01,0.0
1,2023-01-01,2023-01-01,0.0
2,2022-11-01,2023-01-01,0.16700889801505817
3,2023-01-01,2023-01-01,0.0
4,2022-06-22,2023-01-01,0.5284052019164955
3,2022-12-01,2022-12-01,0.0
4,2022-06-22,2022-12-01,0.44353182751540043
2,2022-11-01,2022-12-01,0.08213552361396304
1,2022-12-01,2022-12-01,0.0
1,2022-11-01,2022-11-01,0.0
2,2022-11-01,2022-11-01,0.0
3,2022-11-01,2022-11-01,0.0
4,2022-11-01,2022-11-01,0.0
1,2022-10-01,2022-10-01,0.0
2,2022-10-01,2022-10-01,0.0
3,2022-10-01,2022-10-01,0.0
4,2022-10-01,2022-10-01,0.0
3,2022-09-01,2022-09-01,0.0
4,2022-09-01,2022-09-01,0.0
2,2022-09-01,2022-09-01,0.0
1,2022-09-01,2022-09-01,0.0
2,2022-08-01,2022-08-01,0.0
3,2022-08-01,2022-08-01,0.0
4,2022-08-01,2022-08-01,0.0
1,2022-08-01,2022-08-01,0.0
1,2022-07-01,2022-07-01,0.0
2,2022-07-01,2022-07-01,0.0
3,2022-07-01,2022-07-01,0.0
4,2022-07-01,2022-07-01,0.0
1,2022-06-01,2022-06-01,0.0
2,2022-06-01,2022-06-01,0.0
3,2022-06-01,2022-06-01,0.0
4,2022-06-01,2022-06-01,0.0
3,2022-05-01,2022-05-01,0.0
4,2022-05-01,2022-05-01,0.0
1,2022-05-01,2022-05-01,0.0
2,2022-05-01,2022-05-01,0.0
1,2022-04-01,2022-04-01,0.0
2,2022-04-01,2022-04-01,0.0
3,2022-04-01,2022-04-01,0.0
4,2022-04-01,2022-04-01,0.0
1,2022-03-01,2022-03-01,0.0
2,2022-03-01,2022-03-01,0.0
3,2022-03-01,2022-03-01,0.0
4,2022-03-01,2022-03-01,0.0
3,2022-02-01,2022-02-01,0.0
4,2022-02-01,2022-02-01,0.0
1,2022-02-01,2022-02-01,0.0
2,2022-02-01,2022-02-01,0.0
1,2022-01-01,2022-01-01,0.0
2,2022-01-01,2022-01-01,0.0
3,2022-01-01,2022-01-01,0.0
4,2022-01-01,2022-01-01,0.0
1,2021-12-01,2021-12-01,0.0
2,2021-12-01,2021-12-01,0.0
3,2021-12-01,2021-12-01,0.0
4,2021-12-01,2021-12-01,0.0
4,2021-11-01,2021-11-01,0.0
3,2021-11-01,2021-11-01,0.0
2,2021-11-01,2021-11-01,0.0
1,2021-11-01,2021-11-01,0.0
1,2021-10-01,2021-10-01,0.0
2,2021-10-01,2021-10-01,0.0
3,2021-10-01,2021-10-01,0.0
4,2021-10-01,2021-10-01,0.0
1,2021-09-01,2021-09-01,0.0
2,2021-09-01,2021-09-01,0.0
3,2021-09-01,2021-09-01,0.0
4,2021-09-01,2021-09-01,0.0
4,2021-08-01,2021-08-01,0.0
3,2021-08-01,2021-08-01,0.0
2,2021-08-01,2021-08-01,0.0
1,2021-08-01,2021-08-01,0.0
3,2021-07-01,2021-07-01,0.0
4,2021-07-01,2021-07-01,0.0
1,2021-07-01,2021-07-01,0.0
2,2021-07-01,2021-07-01,0.0
2,2021-06-01,2021-06-01,0.0
3,2021-06-01,2021-06-01,0.0
4,2021-06-01,2021-06-01,0.0
1,2021-06-01,2021-06-01,0.0
4,2021-05-01,2021-05-01,0.0
3,2021-05-01,2021-05-01,0.0
2,2021-05-01,2021-05-01,0.0
1,2021-05-01,2021-05-01,0.0
2,2021-04-01,2021-04-01,0.0
3,2021-04-01,2021-04-01,0.0
4,2021-04-01,2021-04-01,0.0
1,2021-04-01,2021-04-01,0.0
1,2021-03-01,2021-03-01,0.0
2,2021-03-01,2021-03-01,0.0
3,2021-03-01,2021-03-01,0.0
4,2021-03-01,2021-03-01,0.0
3,2021-02-01,2021-02-01,0.0
4,2021-02-01,2021-02-01,0.0
2,2021-02-01,2021-02-01,0.0
1,2021-02-01,2021-02-01,0.0
1,2021-01-01,2021-01-01,0.0
2,2021-01-01,2021-01-01,0.0
3,2021-01-01,2021-01-01,0.0
4,2021-01-01,2021-01-01,0.0
1,2020-12-01,2020-12-01,0.0
2,2020-12-01,2020-12-01,0.0
3,2020-12-01,2020-12-01,0.0
4,2020-12-01,2020-12-01,0.0
3,2020-11-01,2020-11-01,0.0
4,2020-11-01,2020-11-01,0.0
2,2020-11-01,2020-11-01,0.0
1,2020-11-01,2020-11-01,0.0
1,2020-10-01,2020-10-01,0.0
2,2020-10-01,2020-10-01,0.0
3,2020-10-01,2020-10-01,0.0
4,2020-10-01,2020-10-01,0.0
1,2020-09-01,2020-09-01,0.0
2,2020-09-01,2020-09-01,0.0
3,2019-04-01,2020-09-01,1.4209445585215605
4,2020-09-01,2020-09-01,0.0
1,2020-08-01,2020-08-01,0.0
2,2020-08-01,2020-08-01,0.0
3,2019-04-01,2020-08-01,1.3360711841204653
4,2020-08-01,2020-08-01,0.0
3,2018-04-15,2020-07-01,2.212183436002738
4,2020-07-01,2020-07-01,0.0
1,2020-07-01,2020-07-01,0.0
2,2020-07-01,2020-07-01,0.0
3,2017-11-08,2020-06-01,2.5626283367556466
4,2020-06-01,2020-06-01,0.0
1,2020-06-01,2020-06-01,0.0
2,2020-06-01,2020-06-01,0.0
3,2017-01-01,2020-05-01,3.3292265571526354
4,2020-05-01,2020-05-01,0.0
1,2020-05-01,2020-05-01,0.0
2,2020-05-01,2020-05-01,0.0
3,2017-01-01,2020-04-01,3.247091033538672
4,2020-04-01,2020-04-01,0.0
1,2019-06-01,2020-04-01,0.8350444900752909
2,2020-04-01,2020-04-01,0.0
1,2019-03-01,2020-03-01,1.002053388090349
2,2020-03-01,2020-03-01,0.0
3,2017-01-01,2020-03-01,3.162217659137577
4,2020-03-01,2020-03-01,0.0
2,2020-02-01,2020-02-01,0.0
3,2020-02-01,2020-02-01,0.0
4,2020-02-01,2020-02-01,0.0
1,2018-12-01,2020-02-01,1.1690622861054072
1,2018-10-01,2020-01-01,1.2511978097193703
2,2020-01-01,2020-01-01,0.0
3,2020-01-01,2020-01-01,0.0
4,2020-01-01,2020-01-01,0.0
4,2019-12-01,2019-12-01,0.0
3,2019-12-01,2019-12-01,0.0
1,2018-07-15,2019-12-01,1.379876796714579
2,2019-12-01,2019-12-01,0.0
1,2018-06-01,2019-11-01,1.4182067077344285
2,2019-11-01,2019-11-01,0.0
3,2019-11-01,2019-11-01,0.0
4,2019-11-01,2019-11-01,0.0
1,2018-04-22,2019-10-01,1.4428473648186173
2,2019-10-01,2019-10-01,0.0
3,2019-10-01,2019-10-01,0.0
4,2019-10-01,2019-10-01,0.0
3,2016-07-01,2019-09-01,3.167693360711841
4,,2019-09-01,
2,2018-01-01,2019-09-01,1.6646132785763177
1,2017-10-01,2019-09-01,1.9164955509924708
1,2016-07-01,2019-08-01,3.082819986310746
2,2017-01-01,2019-08-01,2.5790554414784395
3,2016-07-01,2019-08-01,3.082819986310746
4,2019-08-01,2019-08-01,0.0
1,2018-04-22,2019-07-01,1.1909650924024642
2,2019-07-01,2019-07-01,0.0
3,2019-07-01,2019-07-01,0.0
4,2019-07-01,2019-07-01,0.0
4,2019-06-01,2019-06-01,0.0
3,2019-06-01,2019-06-01,0.0
1,2018-04-22,2019-06-01,1.108829568788501
2,2019-06-01,2019-06-01,0.0
1,2018-03-01,2019-05-01,1.1663244353182751
2,2019-05-01,2019-05-01,0.0
3,2019-05-01,2019-05-01,0.0
4,2019-05-01,2019-05-01,0.0
