EB_level,final_action_dates,visa_bulletin_date,visa_wait_time
1,2025-12-01,2025-12-01,0.0
3,2023-04-15,2025-12-01,2.631074606433949
4,2020-09-01,2025-12-01,5.248459958932238
2,2024-02-01,2025-12-01,1.8316221765913758
1,2025-11-01,2025-11-01,0.0
2,2023-12-01,2025-11-01,1.919233401779603
3,2023-04-01,2025-11-01,2.5872689938398357
4,2020-07-01,2025-11-01,5.336071184120465
1,2025-10-01,2025-10-01,0.0
2,2023-12-01,2025-10-01,1.834360027378508
3,2023-04-01,2025-10-01,2.5023956194387407
4,2020-07-01,2025-10-01,5.25119780971937
3,2023-04-01,2025-09-01,2.4202600958247777
4,,2025-09-01,
2,2023-09-01,2025-09-01,2.001368925393566
1,2025-09-01,2025-09-01,0.0
1,2025-08-01,2025-08-01,0.0
2,2023-09-01,2025-08-01,1.9164955509924708
3,2023-04-01,2025-08-01,2.3353867214236823
4,,2025-08-01,
1,2025-07-01,2025-07-01,0.0
2,2023-10-15,2025-07-01,1.7111567419575633
3,2023-04-01,2025-07-01,2.2505133470225873
4,,2025-07-01,
1,2025-06-01,2025-06-01,0.0
2,2023-10-15,2025-06-01,1.6290212183436004
3,2023-02-08,2025-06-01,2.3107460643394937
4,,2025-06-01,
3,2023-01-01,2025-05-01,2.329911019849418
4,,2025-05-01,
1,2025-05-01,2025-05-01,0.0
2,2023-06-22,2025-05-01,1.8590006844626967
2,2023-06-22,2025-04-01,1.7768651608487338
3,2023-01-01,2025-04-01,2.2477754962354553
4,,2025-04-01,
1,2025-04-01,2025-04-01,0.0
1,2025-03-01,2025-03-01,0.0
2,2023-05-15,2025-03-01,1.7960301163586585
3,2022-12-01,2025-03-01,2.2477754962354553
4,2019-08-01,2025-03-01,5.582477754962355
1,2025-02-01,2025-02-01,0.0
2,2023-04-01,2025-02-01,1.839835728952772
3,2022-12-01,2025-02-01,2.1711156741957565
4,2021-01-01,2025-02-01,4.084873374401095
3,2022-12-01,2025-01-01,2.086242299794661
4,2021-01-01,2025-01-01,4.0
1,2025-01-01,2025-01-01,0.0
2,2023-04-01,2025-01-01,1.754962354551677
1,2024-12-01,2024-12-01,0.0
2,2023-03-15,2024-12-01,1.7166324435318274
3,2022-11-15,2024-12-01,2.0451745379876796
4,2021-01-01,2024-12-01,3.915126625598905
1,2024-11-01,2024-11-01,0.0
2,2023-03-15,2024-11-01,1.6344969199178645
3,2022-11-15,2024-11-01,1.9630390143737166
4,2021-01-01,2024-11-01,3.8329911019849416
4,2021-01-01,2024-10-01,3.7481177275838466
3,2022-11-15,2024-10-01,1.8781656399726214
2,2023-03-15,2024-10-01,1.5496235455167693
1,2024-10-01,2024-10-01,0.0
1,2024-09-01,2024-09-01,0.0
3,2020-12-01,2024-09-01,3.7508555783709787
4,2021-01-01,2024-09-01,3.6659822039698837
2,2023-03-15,2024-09-01,1.4674880219028064
1,2024-08-01,2024-08-01,0.0
2,2023-03-15,2024-08-01,1.3826146475017111
3,2021-12-01,2024-08-01,2.6666666666666665
4,2021-01-01,2024-08-01,3.5811088295687883
3,2021-12-01,2024-07-01,2.5817932922655715
4,2021-01-01,2024-07-01,3.4962354551676933
2,2023-03-15,2024-07-01,1.297741273100616
1,2024-07-01,2024-07-01,0.0
2,2023-01-15,2024-06-01,1.377138945927447
3,2022-11-22,2024-06-01,1.5249828884325805
4,2020-11-01,2024-06-01,3.5811088295687883
1,2024-06-01,2024-06-01,0.0
1,2024-05-01,2024-05-01,0.0
2,2023-01-15,2024-05-01,1.2922655715263518
3,2022-11-22,2024-05-01,1.4401095140314852
4,2020-11-01,2024-05-01,3.4962354551676933
1,2024-04-01,2024-04-01,0.0
2,2023-01-15,2024-04-01,1.2101300479123889
3,2022-11-22,2024-04-01,1.3579739904175223
4,2020-11-01,2024-04-01,3.4140999315537304
3,2022-09-08,2024-03-01,1.4784394250513346
4,2019-12-01,2024-03-01,4.249144421629021
2,2022-11-22,2024-03-01,1.273100616016427
1,2024-03-01,2024-03-01,0.0
1,2024-02-01,2024-02-01,0.0
2,2022-11-15,2024-02-01,1.212867898699521
3,2022-09-01,2024-02-01,1.4182067077344285
4,2019-05-15,2024-02-01,4.717316906228611
1,2024-01-01,2024-01-01,0.0
2,2022-11-01,2024-01-01,1.1663244353182751
3,2022-08-01,2024-01-01,1.4182067077344285
4,2019-05-15,2024-01-01,4.632443531827516
1,2023-12-01,2023-12-01,0.0
2,2022-07-15,2023-12-01,1.379876796714579
3,2021-12-01,2023-12-01,1.998631074606434
4,2019-01-01,2023-12-01,4.914442162902122
3,2021-12-01,2023-11-01,1.9164955509924708
4,2019-01-01,2023-11-01,4.832306639288158
2,2022-07-15,2023-11-01,1.297741273100616
1,2023-11-01,2023-11-01,0.0
1,2023-10-01,2023-10-01,0.0
2,2022-07-08,2023-10-01,1.2320328542094456
3,2021-12-01,2023-10-01,1.8316221765913758
4,2019-01-01,2023-10-01,4.747433264887063
1,2023-08-01,2023-09-01,0.08487337440109514
2,2022-07-01,2023-09-01,1.1690622861054072
3,2020-05-01,2023-09-01,3.3347022587268995
4,2018-09-01,2023-09-01,4.999315537303217
1,2023-08-01,2023-08-01,0.0
2,2022-04-01,2023-08-01,1.3333333333333333
3,2020-05-01,2023-08-01,3.249828884325804
4,2018-09-01,2023-08-01,4.914442162902122
4,2018-09-01,2023-07-01,4.829568788501026
3,2022-02-01,2023-07-01,1.4099931553730323
2,2022-02-15,2023-07-01,1.3716632443531827
1,2023-07-01,2023-07-01,0.0
1,2023-06-01,2023-06-01,0.0
4,2018-09-01,2023-06-01,4.747433264887063
2,2022-02-15,2023-06-01,1.2895277207392197
