EB_level,final_action_dates,visa_bulletin_date,visa_wait_time
1,2024-03-01,2024-03-01,0.0
4,2019-12-01,2024-03-01,4.249144421629021
2,2022-11-22,2024-03-01,1.273100616016427
3,2022-09-08,2024-03-01,1.4784394250513346
3,2022-09-01,2024-02-01,1.4182067077344285
4,2019-05-15,2024-02-01,4.717316906228611
1,2024-02-01,2024-02-01,0.0
2,2022-11-15,2024-02-01,1.212867898699521
2,2022-11-01,2024-01-01,1.1663244353182751
3,2022-08-01,2024-01-01,1.4182067077344285
4,2019-05-15,2024-01-01,4.632443531827516
1,2024-01-01,2024-01-01,0.0
4,2019-01-01,2023-12-01,4.914442162902122
3,2021-12-01,2023-12-01,1.998631074606434
2,2022-07-15,2023-12-01,1.379876796714579
1,2023-12-01,2023-12-01,0.0
2,2022-07-15,2023-11-01,1.297741273100616
3,2021-12-01,2023-11-01,1.9164955509924708
4,2019-01-01,2023-11-01,4.832306639288158
1,2023-11-01,2023-11-01,0.0
1,2023-10-01,2023-10-01,0.0
2,2022-07-08,2023-10-01,1.2320328542094456
3,2021-12-01,2023-10-01,1.8316221765913758
4,2019-01-01,2023-10-01,4.747433264887063
4,2018-09-01,2023-09-01,4.999315537303217
3,2020-05-01,2023-09-01,3.3347022587268995
1,2023-08-01,2023-09-01,0.08487337440109514
2,2022-07-01,2023-09-01,1.1690622861054072
1,2023-08-01,2023-08-01,0.0
2,2022-04-01,2023-08-01,1.3333333333333333
3,2020-05-01,2023-08-01,3.249828884325804
4,2018-09-01,2023-08-01,4.914442162902122
1,2023-07-01,2023-07-01,0.0
2,2022-02-15,2023-07-01,1.3716632443531827
3,2022-02-01,2023-07-01,1.4099931553730323
4,2018-09-01,2023-07-01,4.829568788501026
3,2022-06-01,2023-06-01,0.999315537303217
4,2018-09-01,2023-06-01,4.747433264887063
2,2022-02-15,2023-06-01,1.2895277207392197
1,2023-06-01,2023-06-01,0.0
1,2023-05-01,2023-05-01,0.0
